,date,price,upanddown,check
574,2006-03-17,3.97,-0.25,
575,2006-03-18,3.97,-0.25,
576,2006-03-19,3.97,-0.25,
577,2006-03-20,3.98,+ 0.25,
578,2006-03-21,3.95,-0.75,
579,2006-03-22,3.92,-0.76,
580,2006-03-23,3.97,+ 1.28,
581,2006-03-24,3.97,0.00,
582,2006-03-25,3.97,0.00,
583,2006-03-26,3.97,0.00,
584,2006-03-27,3.98,+ 0.25,
585,2006-03-28,3.97,-0.25,
586,2006-03-29,3.96,-0.25,
587,2006-03-30,3.96,0.00,
588,2006-03-31,3.97,+ 0.25,
589,2006-04-01,3.97,+ 0.25,
590,2006-04-02,3.97,+ 0.25,
591,2006-04-03,3.97,0.00,
592,2006-04-04,3.96,-0.25,
593,2006-04-05,3.96,0.00,
594,2006-04-06,3.93,-0.76,
595,2006-04-07,3.92,-0.25,
596,2006-04-08,3.92,-0.25,
597,2006-04-09,3.92,-0.25,
598,2006-04-10,3.97,+ 1.28,
599,2006-04-11,3.97,0.00,
600,2006-04-12,3.97,0.00,
601,2006-04-13,3.96,-0.25,
602,2006-04-14,3.96,0.00,
603,2006-04-15,3.96,0.00,
604,2006-04-16,3.96,0.00,
605,2006-04-17,3.96,0.00,
606,2006-04-18,3.96,0.00,
607,2006-04-19,3.99,+ 0.76,
608,2006-04-20,3.97,-0.50,
609,2006-04-21,4.00,+ 0.76,
610,2006-04-22,4.00,+ 0.76,
611,2006-04-23,4.00,+ 0.76,
612,2006-04-24,3.97,-0.75,
613,2006-04-25,3.97,0.00,
614,2006-04-26,3.97,0.00,
615,2006-04-27,3.97,0.00,
616,2006-04-28,3.97,0.00,
617,2006-04-29,3.97,0.00,
618,2006-04-30,3.97,0.00,
619,2006-05-01,3.97,0.00,
620,2006-05-02,3.97,0.00,
621,2006-05-03,3.97,0.00,
622,2006-05-04,3.94,-0.76,
623,2006-05-05,3.94,-0.76,
624,2006-05-06,3.94,-0.76,
625,2006-05-07,3.94,-0.76,
626,2006-05-08,3.96,+ 0.51,
627,2006-05-09,3.96,0.00,
628,2006-05-10,3.97,+ 0.25,
629,2006-05-11,3.97,0.00,
630,2006-05-12,3.96,-0.25,
631,2006-05-13,3.96,-0.25,
632,2006-05-14,3.96,-0.25,
633,2006-05-15,3.96,0.00,
634,2006-05-16,3.96,0.00,
635,2006-05-17,3.96,0.00,
636,2006-05-18,3.96,0.00,
637,2006-05-19,3.94,-0.51,
638,2006-05-20,3.94,-0.51,
639,2006-05-21,3.94,-0.51,
640,2006-05-22,3.97,+ 0.76,
641,2006-05-23,3.96,-0.25,
642,2006-05-24,3.96,0.00,
643,2006-05-25,3.96,0.00,
644,2006-05-26,3.95,-0.25,
645,2006-05-27,3.95,-0.25,
646,2006-05-28,3.95,-0.25,
647,2006-05-29,3.96,+ 0.25,
648,2006-05-30,3.96,0.00,
