,date,price
1665,2013-10-21,2.49
1666,2013-10-18,2.50
1667,2013-10-17,2.49
1668,2013-10-16,2.49
1669,2013-10-15,2.49
1670,2013-10-14,2.49
1671,2013-10-11,2.49
1672,2013-10-10,2.49
1673,2013-10-08,2.49
1674,2013-10-07,2.50
1675,2013-10-04,2.48
1676,2013-10-02,2.49
1677,2013-10-01,2.50
1678,2013-09-30,2.50
1679,2013-09-27,2.50
1680,2013-09-26,2.50
1681,2013-09-25,2.50
1682,2013-09-24,2.50
1683,2013-09-23,2.50
1684,2013-09-17,2.50
1685,2013-09-16,2.50
1686,2013-09-13,2.50
1687,2013-09-12,2.50
1688,2013-09-11,2.49
1689,2013-09-10,2.51
1690,2013-09-09,2.50
1691,2013-09-06,2.50
1692,2013-09-05,2.50
1693,2013-09-04,2.50
1694,2013-09-03,2.51
1695,2013-09-02,2.51
1696,2013-08-30,2.51
1697,2013-08-29,2.50
1698,2013-08-28,2.50
1699,2013-08-27,2.50
1700,2013-08-26,2.50
1701,2013-08-23,2.50
1702,2013-08-22,2.50
1703,2013-08-21,2.50
1704,2013-08-20,2.50
1705,2013-08-19,2.50
1706,2013-08-16,2.50
1707,2013-08-14,2.50
1708,2013-08-13,2.50
1709,2013-08-12,2.50
1710,2013-08-09,2.49
1711,2013-08-08,2.49
1712,2013-08-07,2.48
1713,2013-08-06,2.50
1714,2013-08-05,2.49
1715,2013-08-02,2.49
1716,2013-08-01,2.52
1717,2013-07-31,2.53
1718,2013-07-30,2.51
1719,2013-07-29,2.51
1720,2013-07-26,2.50
1721,2013-07-25,2.50
1722,2013-07-24,2.49
1723,2013-07-23,2.48
1724,2013-07-22,2.49
1725,2013-07-19,2.49
1726,2013-07-18,2.48
1727,2013-07-17,2.48
1728,2013-07-16,2.48
1729,2013-07-15,2.48
1730,2013-07-12,2.48
1731,2013-07-11,2.48
1732,2013-07-10,2.36
1733,2013-07-09,2.34
1734,2013-07-08,2.35
1735,2013-07-05,2.42
1736,2013-07-04,2.45
1737,2013-07-03,2.48
1738,2013-07-02,2.49
1739,2013-07-01,2.49
1740,2013-06-28,2.50
1741,2013-06-27,2.50
1742,2013-06-26,2.49
1743,2013-06-25,2.49
1744,2013-06-24,2.49
1745,2013-06-21,2.49
1746,2013-06-20,2.49
1747,2013-06-19,2.49
1748,2013-06-18,2.49
1749,2013-06-17,2.49
1750,2013-06-14,2.49
1751,2013-06-13,2.49
1752,2013-06-12,2.49
1753,2013-06-11,2.49
1754,2013-06-10,2.49
1755,2013-06-07,2.50
1756,2013-06-05,2.48
1757,2013-06-04,2.52
1758,2013-06-03,2.49
1759,2013-05-31,2.50
1760,2013-05-30,2.49
1761,2013-05-29,2.49
1762,2013-05-28,2.50
1763,2013-05-27,2.50
1764,2013-05-24,2.50
1765,2013-05-23,2.50
1766,2013-05-22,2.50
1767,2013-05-21,2.50
1768,2013-05-20,2.50
1769,2013-05-16,2.51
1770,2013-05-15,2.51
1771,2013-05-14,2.51
1772,2013-05-13,2.51
1773,2013-05-10,2.51
1774,2013-05-09,2.51
1775,2013-05-08,2.77
1776,2013-05-07,2.76
1777,2013-05-06,2.76
1778,2013-05-03,2.76
1779,2013-05-02,2.76
1780,2013-04-30,2.78
1781,2013-04-29,2.76
1782,2013-04-26,2.76
1783,2013-04-25,2.76
1784,2013-04-24,2.75
1785,2013-04-23,2.75
1786,2013-04-22,2.75
1787,2013-04-19,2.75
1788,2013-04-18,2.74
1789,2013-04-17,2.74
1790,2013-04-16,2.74
1791,2013-04-15,2.74
1792,2013-04-12,2.73
1793,2013-04-11,2.74
1794,2013-04-10,2.75
1795,2013-04-09,2.75
1796,2013-04-08,2.74
1797,2013-04-05,2.74
1798,2013-04-04,2.74
1799,2013-04-03,2.74
1800,2013-04-02,2.74
1801,2013-04-01,2.74
1802,2013-03-29,2.75
1803,2013-03-28,2.74
1804,2013-03-27,2.74
1805,2013-03-26,2.74
1806,2013-03-25,2.74
1807,2013-03-22,2.74
1808,2013-03-21,2.74
1809,2013-03-20,2.74
1810,2013-03-19,2.74
1811,2013-03-18,2.74
1812,2013-03-15,2.74
1813,2013-03-14,2.74
1814,2013-03-13,2.74
1815,2013-03-12,2.75
1816,2013-03-11,2.75
1817,2013-03-08,2.75
1818,2013-03-07,2.76
1819,2013-03-06,2.74
1820,2013-03-05,2.74
1821,2013-03-04,2.76
1822,2013-02-28,2.76
1823,2013-02-27,2.75
1824,2013-02-26,2.75
1825,2013-02-25,2.76
1826,2013-02-22,2.75
1827,2013-02-21,2.76
1828,2013-02-20,2.75
1829,2013-02-19,2.75
1830,2013-02-18,2.74
1831,2013-02-15,2.75
1832,2013-02-14,2.75
1833,2013-02-13,2.75
1834,2013-02-12,2.75
1835,2013-02-08,2.74
1836,2013-02-07,2.74
1837,2013-02-06,2.72
1838,2013-02-05,2.73
1839,2013-02-04,2.75
1840,2013-02-01,2.75
1841,2013-01-31,2.76
1842,2013-01-30,2.75
1843,2013-01-29,2.75
1844,2013-01-28,2.75
1845,2013-01-25,2.75
1846,2013-01-24,2.75
1847,2013-01-23,2.75
1848,2013-01-22,2.75
1849,2013-01-21,2.76
1850,2013-01-18,2.75
1851,2013-01-17,2.75
1852,2013-01-16,2.75
1853,2013-01-15,2.76
1854,2013-01-14,2.75
1855,2013-01-11,2.76
1856,2013-01-10,2.76
1857,2013-01-09,2.77
1858,2013-01-08,2.76
1859,2013-01-07,2.76
1860,2013-01-04,2.76
1861,2013-01-03,2.77
1862,2013-01-02,2.77
1863,2012-12-31,2.77
1864,2012-12-28,2.75
1865,2012-12-27,2.75
1866,2012-12-26,2.75
1867,2012-12-24,2.76
1868,2012-12-21,2.75
1869,2012-12-20,2.75
1870,2012-12-18,2.75
1871,2012-12-17,2.75
1872,2012-12-14,2.75
1873,2012-12-13,2.75
1874,2012-12-12,2.75
1875,2012-12-11,2.75
1876,2012-12-10,2.75
1877,2012-12-07,2.76
1878,2012-12-06,2.75
1879,2012-12-05,2.74
1880,2012-12-04,2.78
1881,2012-12-03,2.75
1882,2012-11-30,2.77
1883,2012-11-29,2.76
1884,2012-11-28,2.75
1885,2012-11-27,2.75
1886,2012-11-26,2.75
1887,2012-11-23,2.75
1888,2012-11-22,2.76
1889,2012-11-21,2.76
1890,2012-11-20,2.76
1891,2012-11-19,2.75
1892,2012-11-16,2.75
1893,2012-11-15,2.76
1894,2012-11-14,2.76
1895,2012-11-13,2.76
1896,2012-11-12,2.76
1897,2012-11-09,2.75
1898,2012-11-08,2.75
